S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 03 23 23 46 57.0  2011 03 23 23 59 42.0  BSI m 
2011 03 24 12 18 48.0  2011 03 24 12 46 29.0  BSI m 
2011 03 25 00 58 29.0  2011 03 25 01 00  3.0  BSI m 
2011 03 25 13 04 24.0  2011 03 25 13 04 24.0  BSI s 
2011 03 26 01 19 14.0  2011 03 26 01 19 14.0  BSI s 
2011 03 26 13 20  8.0  2011 03 26 13 24 39.0  BSI m 
2011 03 27 01 30 33.0  2011 03 27 01 30 33.0  BSI s 
2011 03 27 13 30 42.0  2011 03 27 13 32  6.0  BSI m 
2011 03 28 01 35  6.0  2011 03 28 01 35  6.0  BSI s 
2011 03 28 13 45  5.0  2011 03 28 13 45  5.0  BSI s 
2011 03 29 01 47 37.0  2011 03 29 01 50 51.0  BSI m 
2011 03 29 13 48 39.0  2011 03 29 13 48 39.0  BSI s 
2011 03 30 01 55 35.0  2011 03 30 01 55 35.0  BSI s 
2011 03 30 13 56 11.0  2011 03 30 13 56 11.0  BSI s 
2011 03 31 01 52 40.0  2011 03 31 02 02 12.0  BSI m 
2011 03 31 13 53 41.0  2011 03 31 13 58 57.0  BSI m 
2011 04 01 01 38 49.0  2011 04 01 01 38 49.0  BSI s 
2011 04 01 13 35  1.0  2011 04 01 13 38 52.0  BSI m 
2011 04 02 01 51 46.0  2011 04 02 01 51 46.0  BSI s 
2011 04 02 13 55  0.0  2011 04 02 14 01  4.0  BSI m 
2011 04 03 02 12 14.0  2011 04 03 02 12 14.0  BSI s 
2011 04 03 14 24  9.0  2011 04 03 14 24  9.0  BSI s 
2011 04 04 02 37 59.0  2011 04 04 02 39 47.0  BSI m 
2011 04 04 14 51 45.0  2011 04 04 14 52 44.0  BSI m 
2011 04 06 02 59 35.0  2011 04 06 03 02 30.0  BSI m 
2011 04 06 15 05 19.0  2011 04 06 15 05 19.0  BSI s 
2011 04 07 03 07  8.0  2011 04 07 03 09 53.0  BSI m 
2011 04 07 15 16  0.0  2011 04 07 15 16  0.0  BSI s 
2011 04 08 03 21 11.0  2011 04 08 03 21 11.0  BSI s 
2011 04 08 15 25 33.0  2011 04 08 15 25 33.0  BSI s 
2011 04 09 03 28 38.0  2011 04 09 03 28 38.0  BSI s 
2011 04 09 15 33 36.0  2011 04 09 15 37 30.0  BSI m 
2011 04 10 03 39 17.0  2011 04 10 03 39 17.0  BSI s 
2011 04 10 15 42 39.0  2011 04 10 15 43  3.0  BSI m 
2011 04 11 03 46 21.0  2011 04 11 03 46 21.0  BSI s 
2011 04 11 15 49 50.0  2011 04 11 15 51  1.0  BSI m 
2011 04 12 03 51 25.0  2011 04 12 03 53 43.0  BSI m 
2011 04 12 15 55 53.0  2011 04 12 15 59  7.0  BSI m 
2011 04 13 04 11 11.0  2011 04 13 04 11 22.0  BSI m 
2011 04 13 16 08 38.0  2011 04 13 16 09 29.0  BSI m 
2011 04 14 04 13 22.0  2011 04 14 04 13 45.0  BSI m 
2011 04 14 16 10 12.0  2011 04 14 16 15 31.0  BSI m 
2011 04 15 04 15 29.0  2011 04 15 04 17 45.0  BSI m 
2011 04 15 16 19 48.0  2011 04 15 16 22 39.0  BSI m 
2011 04 16 04 32 54.0  2011 04 16 04 34  6.0  BSI m 
2011 04 16 16 35 48.0  2011 04 16 16 35 48.0  BSI s 
2011 04 17 04 37  1.0  2011 04 17 04 37  1.0  BSI s 
2011 04 17 16 35 11.0  2011 04 17 16 36 28.0  BSI m 
2011 04 18 04 42 50.0  2011 04 18 04 42 50.0  BSI s 
2011 04 18 16 45 54.0  2011 04 18 16 45 54.0  BSI s 
2011 04 19 04 45 14.0  2011 04 19 04 45 14.0  BSI s 
2011 04 19 16 51 49.0  2011 04 19 16 51 49.0  BSI s 
2011 04 20 04 49 58.0  2011 04 20 05 00 40.0  BSI m 
2011 04 20 17 01 13.0  2011 04 20 17 07 33.0  BSI m 
2011 04 21 04 59 37.0  2011 04 21 05 01 11.0  BSI m 
2011 04 21 16 58  6.0  2011 04 21 17 05 13.0  BSI m 
2011 04 22 05 01 45.0  2011 04 22 05 01 45.0  BSI s 
2011 04 22 17 09 48.0  2011 04 22 17 20 33.0  BSI m 
2011 04 23 05 11 47.0  2011 04 23 05 14 49.0  BSI m 
2011 04 23 17 17 23.0  2011 04 23 17 18 19.0  BSI m 
2011 04 24 05 22 23.0  2011 04 24 05 30 18.0  BSI m 
2011 04 24 17 32  6.0  2011 04 24 17 35 27.0  BSI m 
2011 04 25 05 32 18.0  2011 04 25 05 36  1.0  BSI m 
2011 04 25 17 35 11.0  2011 04 25 17 35 11.0  BSI s 
2011 04 26 05 33  1.0  2011 04 26 05 43  0.0  BSI m 
2011 04 26 17 43 45.0  2011 04 26 17 46 46.0  BSI m 
2011 04 27 05 35 46.0  2011 04 27 05 45 56.0  BSI m 
2011 04 27 17 38 50.0  2011 04 27 17 44 35.0  BSI m 
2011 04 28 05 49 42.0  2011 04 28 05 55 47.0  BSI m 
2011 04 28 17 57 40.0  2011 04 28 18 02 56.0  BSI m 
2011 04 29 06 03  4.0  2011 04 29 06 04 39.0  BSI m 
2011 04 29 18 06 47.0  2011 04 29 18 07 32.0  BSI m 
2011 04 30 06 09 26.0  2011 04 30 06 12 53.0  BSI m 
2011 04 30 18 09 37.0  2011 04 30 18 10 26.0  BSI m 
2011 05 01 06 08 49.0  2011 05 01 06 09 39.0  BSI m 
2011 05 01 18 27 51.0  2011 05 01 18 31 17.0  BSI m 
2011 05 02 06 26  6.0  2011 05 02 06 30 19.0  BSI m 
2011 05 02 18 23  2.0  2011 05 02 18 33 16.0  BSI m 
2011 05 03 06 30 57.0  2011 05 03 06 34 29.0  BSI m 
2011 05 03 18 30 30.0  2011 05 03 18 38  9.0  BSI m 
2011 05 04 06 38 30.0  2011 05 04 06 46 51.0  BSI m 
2011 05 04 18 27 56.0  2011 05 04 18 40  5.0  BSI m 
2011 05 05 06 38 28.0  2011 05 05 06 48 12.0  BSI m 
2011 05 05 18 46  3.0  2011 05 05 18 50  2.0  BSI m 
2011 05 06 06 46 30.0  2011 05 06 06 46 48.0  BSI m 
2011 05 06 18 38 20.0  2011 05 06 18 45 13.0  BSI m 
2011 05 07 06 29 44.0  2011 05 07 06 30  3.0  BSI m 
2011 05 07 18 19 51.0  2011 05 07 18 30  0.0  BSI m 
2011 05 08 06 34 22.0  2011 05 08 06 41 24.0  BSI m 
2011 05 08 18 33 45.0  2011 05 08 18 41 25.0  BSI m 
2011 05 09 06 35 47.0  2011 05 09 06 44 59.0  BSI m 
2011 05 09 18 24  1.0  2011 05 09 18 40 26.0  BSI m 
2011 05 10 06 53 18.0  2011 05 10 06 53 31.0  BSI m 
2011 05 10 19 08  6.0  2011 05 10 19 08  6.0  BSI s 
2011 05 11 07 26 37.0  2011 05 11 07 35 53.0  BSI m 
2011 05 11 19 05 25.0  2011 05 11 19 14  9.0  BSI m 
2011 05 12 07 24 15.0  2011 05 12 07 27  9.0  BSI m 
2011 05 12 18 29 36.0  2011 05 12 19 19 32.0  BSI m 
2011 05 13 06 15 42.0  2011 05 13 06 15 42.0  BSI s 
2011 05 13 17 04  0.0  2011 05 13 17 04  0.0  BSI s 
2011 05 14 07 31  0.0  2011 05 14 07 31  0.0  BSI s 
2011 05 14 17 04 20.0  2011 05 14 17 04 20.0  BSI s 
2011 05 15 04 26 10.0  2011 05 15 04 42 10.0  BSI m 
2011 05 15 18 28 54.0  2011 05 15 18 49  6.0  BSI m 
2011 05 16 05 56 52.0  2011 05 16 06 10 15.0  BSI m 
2011 05 16 19 04 10.0  2011 05 16 19 22 50.0  BSI m 
2011 05 17 06 46 38.0  2011 05 17 06 46 38.0  BSI s 
2011 05 17 18 15 54.0  2011 05 17 18 46  8.0  BSI m 
2011 05 18 04 54 40.0  2011 05 18 06 28  6.0  BSI m 
