S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 03 24 04 35 35.0  2011 03 24 07 32 30.0  BSO m 
2011 03 24 14 45 22.0  2011 03 24 14 49 16.0  BSO m 
2011 03 25 03 30 25.0  2011 03 25 03 31 51.0  BSO m 
2011 03 25 15 04  5.0  2011 03 25 15 15 19.0  BSO m 
2011 03 26 03 02 42.0  2011 03 26 03 17 49.0  BSO m 
2011 03 26 15 08 32.0  2011 03 26 15 09 59.0  BSO m 
2011 03 27 03 16 58.0  2011 03 27 03 21  5.0  BSO m 
2011 03 27 15 28 31.0  2011 03 27 15 32 43.0  BSO m 
2011 03 28 03 33  5.0  2011 03 28 03 33  5.0  BSO s 
2011 03 28 15 30 33.0  2011 03 28 15 49 44.0  BSO m 
2011 03 29 03 52 44.0  2011 03 29 03 54 55.0  BSO m 
2011 03 29 15 58 41.0  2011 03 29 16 03 21.0  BSO m 
2011 03 30 03 57 41.0  2011 03 30 04 02 59.0  BSO m 
2011 03 30 16 09 45.0  2011 03 30 16 09 45.0  BSO s 
2011 03 31 04 31  4.0  2011 03 31 04 47 28.0  BSO m 
2011 03 31 16 47 40.0  2011 03 31 16 58 18.0  BSO m 
2011 04 01 06 10 36.0  2011 04 01 06 47 28.0  BSO m 
2011 04 01 18 09 10.0  2011 04 01 19 07  2.0  BSO m 
2011 04 02 06 29  0.0  2011 04 02 06 37  2.0  BSO m 
2011 04 02 19 01 30.0  2011 04 02 19 01 30.0  BSO s 
2011 04 03 06 38 58.0  2011 04 03 06 38 58.0  BSO s 
2011 04 03 17 29 18.0  2011 04 03 17 43 19.0  BSO m 
2011 04 04 05 27 41.0  2011 04 04 05 35 20.0  BSO m 
2011 04 04 16 58 50.0  2011 04 04 16 58 50.0  BSO s 
2011 04 06 05 05 54.0  2011 04 06 05 06 55.0  BSO m 
2011 04 06 17 18 16.0  2011 04 06 17 18 16.0  BSO s 
2011 04 07 05 14 54.0  2011 04 07 05 29 13.0  BSO m 
2011 04 07 17 10 41.0  2011 04 07 17 19 30.0  BSO m 
2011 04 08 05 20 27.0  2011 04 08 05 25 58.0  BSO m 
2011 04 08 17 28 24.0  2011 04 08 17 33 20.0  BSO m 
2011 04 09 05 36  9.0  2011 04 09 06 03 17.0  BSO m 
2011 04 09 17 33 16.0  2011 04 09 17 33 16.0  BSO s 
2011 04 10 05 39 39.0  2011 04 10 05 45 19.0  BSO m 
2011 04 10 17 52 56.0  2011 04 10 17 58  1.0  BSO m 
2011 04 11 05 59 35.0  2011 04 11 06 04 37.0  BSO m 
2011 04 11 17 58  3.0  2011 04 11 18 08  5.0  BSO m 
2011 04 12 06 17 48.0  2011 04 12 06 18 28.0  BSO m 
2011 04 12 18 18 16.0  2011 04 12 18 22 42.0  BSO m 
2011 04 13 06 15 33.0  2011 04 13 06 18 44.0  BSO m 
2011 04 13 18 11 26.0  2011 04 13 18 12 16.0  BSO m 
2011 04 14 06 05 37.0  2011 04 14 06 05 55.0  BSO m 
2011 04 14 18 30 19.0  2011 04 14 18 30 19.0  BSO s 
2011 04 15 06 32 13.0  2011 04 15 06 32 13.0  BSO s 
2011 04 15 18 34  8.0  2011 04 15 18 34  8.0  BSO s 
2011 04 16 06 29 56.0  2011 04 16 06 29 56.0  BSO s 
2011 04 16 18 35 21.0  2011 04 16 18 36  9.0  BSO m 
2011 04 17 06 53 50.0  2011 04 17 06 59 46.0  BSO m 
2011 04 17 18 54 25.0  2011 04 17 19 06 23.0  BSO m 
2011 04 18 06 55 48.0  2011 04 18 07 04 29.0  BSO m 
2011 04 18 19 24 42.0  2011 04 18 20 04  8.0  BSO m 
2011 04 19 07 08 40.0  2011 04 19 07 08 40.0  BSO s 
2011 04 19 18 58  1.0  2011 04 19 19 01 26.0  BSO m 
2011 04 20 07 05 13.0  2011 04 20 07 11 34.0  BSO m 
2011 04 20 19 06 50.0  2011 04 20 19 15 44.0  BSO m 
2011 04 21 07 17 29.0  2011 04 21 07 42 41.0  BSO m 
2011 04 21 19 24  2.0  2011 04 21 19 46  5.0  BSO m 
2011 04 22 07 56  8.0  2011 04 22 08 09 35.0  BSO m 
2011 04 22 19 43 19.0  2011 04 22 19 49  6.0  BSO m 
2011 04 23 08 05 22.0  2011 04 23 08 11 37.0  BSO m 
2011 04 23 20 09  6.0  2011 04 23 20 14 23.0  BSO m 
2011 04 24 07 37  5.0  2011 04 24 07 46  7.0  BSO m 
2011 04 24 19 41  0.0  2011 04 24 19 47 37.0  BSO m 
2011 04 25 07 50  1.0  2011 04 25 07 58 35.0  BSO m 
2011 04 25 20 21 29.0  2011 04 25 20 30 38.0  BSO m 
2011 04 26 08 28  2.0  2011 04 26 08 28  2.0  BSO s 
2011 04 26 20 09 24.0  2011 04 26 20 15 53.0  BSO m 
2011 04 27 08 28 11.0  2011 04 27 08 34 49.0  BSO m 
2011 04 27 20 28 27.0  2011 04 27 20 34 17.0  BSO m 
2011 04 28 08 12 42.0  2011 04 28 08 13 17.0  BSO m 
2011 04 28 20 26 22.0  2011 04 28 20 26 22.0  BSO s 
2011 04 29 08 28 59.0  2011 04 29 08 29 42.0  BSO m 
2011 04 29 20 21 53.0  2011 04 29 20 21 53.0  BSO s 
2011 04 30 08 27  2.0  2011 04 30 08 29  3.0  BSO m 
2011 04 30 20 28 44.0  2011 04 30 20 46  8.0  BSO m 
2011 05 01 08 28 18.0  2011 05 01 08 34 58.0  BSO m 
2011 05 01 20 23 45.0  2011 05 01 20 35  8.0  BSO m 
2011 05 02 08 37 58.0  2011 05 02 08 43  1.0  BSO m 
2011 05 02 20 48 42.0  2011 05 02 21 25 39.0  BSO m 
2011 05 03 08 27 58.0  2011 05 03 08 45 38.0  BSO m 
2011 05 03 20 39 59.0  2011 05 03 20 52 15.0  BSO m 
2011 05 04 08 40 39.0  2011 05 04 08 45 21.0  BSO m 
2011 05 04 20 44 17.0  2011 05 04 20 56 28.0  BSO m 
2011 05 05 09 19  1.0  2011 05 05 09 19  1.0  BSO s 
2011 05 05 20 49 28.0  2011 05 05 20 54 43.0  BSO m 
2011 05 06 09 01 29.0  2011 05 06 09 03 13.0  BSO m 
2011 05 06 21 05 16.0  2011 05 06 21 06 58.0  BSO m 
2011 05 07 09 25 32.0  2011 05 07 09 25 32.0  BSO s 
2011 05 07 21 19 58.0  2011 05 07 21 28 23.0  BSO m 
2011 05 08 09 30 10.0  2011 05 08 09 30 10.0  BSO s 
2011 05 08 21 28 16.0  2011 05 08 21 33 17.0  BSO m 
2011 05 09 09 37 14.0  2011 05 09 09 37 14.0  BSO s 
2011 05 09 21 27 49.0  2011 05 09 21 40  0.0  BSO m 
2011 05 10 09 29 57.0  2011 05 10 09 37  0.0  BSO m 
2011 05 10 21 22  0.0  2011 05 10 21 22  0.0  BSO s 
2011 05 11 09 25 38.0  2011 05 11 09 29  9.0  BSO m 
2011 05 11 21 28 39.0  2011 05 11 21 37 52.0  BSO m 
2011 05 12 09 22 51.0  2011 05 12 09 35 19.0  BSO m 
2011 05 12 21 55  4.0  2011 05 12 22 17 32.0  BSO m 
2011 05 13 10 46 46.0  2011 05 13 11 51 20.0  BSO m 
2011 05 14 00 11 20.0  2011 05 14 00 11 20.0  BSO s 
2011 05 14 10 28  8.0  2011 05 14 10 28  8.0  BSO s 
2011 05 14 23 58 34.0  2011 05 14 23 58 34.0  BSO s 
2011 05 15 09 51 18.0  2011 05 15 09 51 18.0  BSO s 
2011 05 15 21 54 47.0  2011 05 15 21 55 13.0  BSO m 
2011 05 16 09 52 33.0  2011 05 16 09 53 27.0  BSO m 
2011 05 16 21 59 32.0  2011 05 16 22 00 13.0  BSO m 
2011 05 17 10 03 38.0  2011 05 17 10 06 53.0  BSO m 
2011 05 17 22 11 36.0  2011 05 17 22 12 55.0  BSO m 
2011 05 18 10 10 59.0  2011 05 18 10 11 44.0  BSO m 
2011 05 18 22 09  3.0  2011 05 18 22 11 12.0  BSO m 
2011 05 19 10 20 53.0  2011 05 19 10 22 20.0  BSO m 
2011 05 19 22 34 29.0  2011 05 19 22 49  0.0  BSO m 
2011 05 20 10 32 39.0  2011 05 20 10 36 30.0  BSO m 
2011 05 20 22 42  6.0  2011 05 20 22 44 47.0  BSO m 
2011 05 21 10 54 15.0  2011 05 21 10 55 25.0  BSO m 
2011 05 21 22 42 12.0  2011 05 21 22 46 53.0  BSO m 
